,Optim_params_exp,Optim_params_lin,cell,experiment_id,image_name,r_sq_exp,r_sq_lin,session_type
13,"[array([ 0.01353838,  4.18988484,  0.01987385]), array([[  5.47857950e-03,  -3.61784385e-01,  -1.40654367e-04],
       [ -3.61784385e-01,   1.54005153e+05,   7.56071377e-01],
       [ -1.40654367e-04,   7.56071377e-01,   1.40681679e-04]])]","[array([ 0.03280332, -0.00064543]), array([[  4.95556411e-04,  -1.88185979e-05],
       [ -1.88185979e-05,   9.65056308e-07]])]",1,652844352,im065,0.000903502536409,0.0112318801637,behavior_session_A
14,"[array([ -2.42020930e-04,   2.76013926e+01,   1.18225729e-02]), array([[ inf,  inf,  inf],
       [ inf,  inf,  inf],
       [ inf,  inf,  inf]])]","[array([ 0.02316608, -0.00055362]), array([[  1.03284868e-04,  -3.73318799e-06],
       [ -3.73318799e-06,   1.82106730e-07]])]",1,652844352,im063,1.22076892972e-06,0.0403777533151,behavior_session_A
15,"[array([-0.08756992,  0.02967258,  0.07670004]), array([[ 0.13241296,  0.08281488, -0.14519178],
       [ 0.08281488,  0.0569133 , -0.09503278],
       [-0.14519178, -0.09503278,  0.16319794]])]","[array([-0.00353681,  0.00143567]), array([[  1.90494786e-03,  -6.88535367e-05],
       [ -6.88535367e-05,   3.35870912e-06]])]",1,652844352,im077,0.0162433902557,0.0151099787675,behavior_session_A
16,"[array([-0.0251171 ,  1.98875964,  0.01490484]), array([[  3.50736517e-04,  -1.02802844e-02,  -8.75404155e-06],
       [ -1.02802844e-02,   2.83049651e+01,  -2.89504559e-03],
       [ -8.75404155e-06,  -2.89504559e-03,   8.92115322e-06]])]","[array([ 0.01098132,  0.00016069]), array([[  3.25171741e-05,  -1.20433978e-06],
       [ -1.20433978e-06,   6.02169888e-08]])]",2,652844352,im066,0.0456589286767,0.0108752260037,behavior_session_A
17,"[array([ 0.01053739,  0.04873249, -0.0049719 ]), array([[ 0.00019576, -0.00189798, -0.00020693],
       [-0.00189798,  0.03169887,  0.00284862],
       [-0.00020693,  0.00284862,  0.00027713]])]","[array([ 0.0039413 , -0.00021212]), array([[  1.89976723e-05,  -7.03617488e-07],
       [ -7.03617488e-07,   3.51808741e-08]])]",2,652844352,im061,0.0343306907681,0.0317538901727,behavior_session_A
18,"[array([ -1.66967492e-02,   2.06637826e+01,   3.79550469e-03]), array([[  2.59273886e-04,   3.14961093e+04,  -6.64804837e-06],
       [  3.14961093e+04,   5.81948728e+15,  -3.14961259e+04],
       [ -6.64804837e-06,  -3.14961259e+04,   6.64804837e-06]])]","[array([  4.51588422e-03,  -5.83486300e-05]), array([[  2.43409793e-05,  -9.24340985e-07],
       [ -9.24340985e-07,   4.74021016e-08]])]",2,652844352,im062,0.0282579070528,0.00188651397428,behavior_session_A
19,"[array([  8.67464129e-03,   3.69202340e+01,   2.81395105e-03]), array([[ inf,  inf,  inf],
       [ inf,  inf,  inf],
       [ inf,  inf,  inf]])]","[array([-0.01110956,  0.00070675]), array([[  1.74512439e-04,  -6.46342362e-06],
       [ -6.46342362e-06,   3.23171180e-07]])]",2,652844352,im069,0.000976091421545,0.0381206709651,behavior_session_A
20,"[array([ 0.09392009,  0.42825959,  0.01095264]), array([[  5.01693823e-04,   1.95271909e-03,  -1.13885472e-05],
       [  1.95271909e-03,   3.55079576e-02,   3.07337905e-04],
       [ -1.13885472e-05,   3.07337905e-04,   1.97896334e-05]])]","[array([ 0.03297105, -0.0007835 ]), array([[  8.26246284e-05,  -3.13764409e-06],
       [ -3.13764409e-06,   1.60904825e-07]])]",2,652844352,im085,0.376836769733,0.0912375551792,behavior_session_A
21,"[array([  2.47507573e-02,   2.36362174e+01,   9.16497195e-03]), array([[ inf,  inf,  inf],
       [ inf,  inf,  inf],
       [ inf,  inf,  inf]])]","[array([ 0.01671753, -0.00035558]), array([[  4.01410547e-05,  -1.52434385e-06],
       [ -1.52434385e-06,   7.81714797e-08]])]",2,652844352,im065,0.0361842702802,0.0408261116785,behavior_session_A
22,"[array([ 0.02010638,  0.04636964, -0.00276675]), array([[ 0.00027734, -0.00135082, -0.00029731],
       [-0.00135082,  0.01072801,  0.00197743],
       [-0.00029731,  0.00197743,  0.00039274]])]","[array([ 0.01395782, -0.00037396]), array([[  2.47473315e-05,  -8.94481861e-07],
       [ -8.94481861e-07,   4.36332614e-08]])]",2,652844352,im063,0.0881404956954,0.0741819698222,behavior_session_A
